dataset,encoding,test_bacc_mean,test_bacc_std
DRD3,random,0.8122666666666666,0.030262848511004397
DRD3,onehot,0.8081333333333334,0.04379629613969151
DRD3,learnable,0.8025333333333334,0.023886397802933806
FEN1,random,0.6537333333333333,0.022177466041006563
FEN1,learnable,0.6176,0.0185501123087346
FEN1,onehot,0.6134666666666667,0.017800873886163908
MAP4K2,learnable,0.7352000000000001,0.020068327727485888
MAP4K2,onehot,0.7270666666666667,0.04039933992860112
MAP4K2,random,0.7269333333333334,0.0151179069685956
PIN1,onehot,0.6298666666666667,0.032051070358275265
PIN1,random,0.6228,0.03989185380500636
PIN1,learnable,0.6216000000000002,0.045051279424426785
VDR,onehot,0.5825333333333333,0.04034385537683115
VDR,learnable,0.5741333333333334,0.03947522429744171
VDR,random,0.5673333333333332,0.02689568325545529
