dataset,model,test_bacc_mean,test_bacc_std
DRD3,gru_balanced,0.7770666666666666,0.03698071569525569
DRD3,cnn_balanced,0.7726666666666667,0.024261537919559473
DRD3,transformer_balanced,0.7222666666666667,0.0368868540268752
FEN1,cnn_balanced,0.6346666666666667,0.018846750383023626
FEN1,gru_balanced,0.5934666666666668,0.053442222176020265
FEN1,transformer_balanced,0.5725333333333333,0.047301209756669474
MAP4K2,cnn_balanced,0.7638666666666667,0.015146103275907095
MAP4K2,gru_balanced,0.7410666666666665,0.04823756028472233
MAP4K2,transformer_balanced,0.6512,0.03868597219205487
PIN1,gru_balanced,0.6209333333333334,0.01932919495938147
PIN1,cnn_balanced,0.6202666666666667,0.02193161087461554
PIN1,transformer_balanced,0.6044,0.02122723617326467
VDR,cnn_balanced,0.6078666666666667,0.018947412605536496
VDR,gru_balanced,0.5923999999999999,0.028580024103869766
VDR,transformer_balanced,0.5288,0.027462782896939725
