dataset,representation,test_bacc_mean,test_bacc_std
DRD3,smiles,0.7770666666666666,0.03698071569525569
DRD3,selfies,0.7634666666666666,0.03220324345293328
FEN1,smiles,0.6346666666666667,0.018846750383023626
FEN1,selfies,0.5936,0.039065984066846596
MAP4K2,smiles,0.7638666666666667,0.015146103275907095
MAP4K2,selfies,0.7278666666666667,0.034031096890278986
PIN1,smiles,0.6209333333333334,0.01932919495938147
PIN1,selfies,0.612,0.017001960671248106
VDR,smiles,0.6078666666666667,0.018947412605536496
VDR,selfies,0.5749333333333334,0.03313165656387658
