dataset,representation,encoding,model,combination,test_ci_mean,test_ci_std
CHEMBL2147_Ki,selfies,onehot,cnn,31,0.6954647795253088,0.08515237699983166
CHEMBL2147_Ki,smiles,onehot,cnn,27,0.6804215283020204,0.07651053096466535
CHEMBL2147_Ki,smiles,learnable,cnn,135,0.6801033857171774,0.08936215145249174
CHEMBL2147_Ki,selfies,learnable,cnn,27,0.6680490588764297,0.09216053128555224
CHEMBL2147_Ki,smiles,random,cnn,243,0.6673161088165334,0.06792979190224817
CHEMBL2147_Ki,selfies,random,cnn,231,0.6647701345861827,0.06704934418201411
CHEMBL2147_Ki,smiles,learnable,transformer,57,0.6285796295991191,0.08393548263882128
CHEMBL2147_Ki,smiles,random,transformer,201,0.6256092256943218,0.09789325511333766
CHEMBL2147_Ki,smiles,onehot,transformer,46,0.6214516698020104,0.09188905364319858
CHEMBL2147_Ki,selfies,random,transformer,81,0.6196802040567182,0.09403580075396369
CHEMBL2147_Ki,selfies,random,gru,199,0.6138338323747472,0.11377709004496375
CHEMBL2147_Ki,smiles,onehot,gru,24,0.6084637599812674,0.10146902708620657
CHEMBL2147_Ki,selfies,onehot,transformer,71,0.6052072224325208,0.08666357921406927
CHEMBL2147_Ki,selfies,learnable,transformer,151,0.6050479680016407,0.07940587188376888
CHEMBL2147_Ki,smiles,learnable,gru,99,0.595184854846729,0.11134602529354506
CHEMBL2147_Ki,selfies,onehot,gru,9,0.5946748905642335,0.108133934766107
CHEMBL2147_Ki,selfies,learnable,gru,48,0.576017465678418,0.10520466237861688
CHEMBL2147_Ki,smiles,random,gru,19,0.5543102861541747,0.1285627905856081
CHEMBL214_Ki,smiles,learnable,transformer,58,0.6946674650784671,0.06078632194620805
CHEMBL214_Ki,smiles,onehot,transformer,3,0.6936158951579519,0.051733084247966216
CHEMBL214_Ki,smiles,random,transformer,170,0.6841642614687069,0.04005029647355803
CHEMBL214_Ki,selfies,random,transformer,393,0.6792924124652215,0.046328583938311046
CHEMBL214_Ki,selfies,onehot,transformer,79,0.6660116471151928,0.04933147129196606
CHEMBL214_Ki,smiles,onehot,cnn,34,0.6635919115157002,0.05154228163155902
CHEMBL214_Ki,selfies,learnable,transformer,11,0.6514954502851129,0.03244881951294805
CHEMBL214_Ki,smiles,learnable,cnn,137,0.6423797459062748,0.04099657492354122
CHEMBL214_Ki,smiles,random,cnn,250,0.6420196303337413,0.04837029801348319
CHEMBL214_Ki,smiles,onehot,gru,24,0.6408499060565622,0.0591641510915658
CHEMBL214_Ki,smiles,random,gru,163,0.635664775393345,0.035599252458876275
CHEMBL214_Ki,selfies,onehot,cnn,14,0.6300718472072483,0.017708352638401936
CHEMBL214_Ki,selfies,learnable,cnn,233,0.6239767092611582,0.029359479315929887
CHEMBL214_Ki,smiles,learnable,gru,4,0.6211685031258952,0.06545388569551998
CHEMBL214_Ki,selfies,onehot,gru,55,0.6022943860959079,0.028605566852995135
CHEMBL214_Ki,selfies,random,gru,117,0.5919458970187929,0.05213316355299518
CHEMBL214_Ki,selfies,learnable,gru,108,0.5911805084165064,0.03820672121839888
CHEMBL214_Ki,selfies,random,cnn,25,0.5844384307311729,0.048088029330517305
CHEMBL233_Ki,smiles,learnable,transformer,152,0.5868169715989056,0.020805342916644116
CHEMBL233_Ki,selfies,random,transformer,370,0.5840314598043943,0.04377588366524998
CHEMBL233_Ki,smiles,onehot,transformer,83,0.5823858081919482,0.023745689099809647
CHEMBL233_Ki,smiles,random,transformer,142,0.5774094204358897,0.02977558041191878
CHEMBL233_Ki,selfies,onehot,transformer,35,0.5730671828916922,0.059311441342758356
CHEMBL233_Ki,selfies,learnable,transformer,419,0.5667461010389834,0.03597195956761438
CHEMBL233_Ki,selfies,onehot,cnn,34,0.5666183597635609,0.08884045372061664
CHEMBL233_Ki,smiles,onehot,cnn,26,0.5662829761780853,0.05790211773153741
CHEMBL233_Ki,selfies,learnable,cnn,250,0.5574310811835084,0.06976676874451547
CHEMBL233_Ki,smiles,onehot,gru,14,0.557170026997446,0.05791531204201338
CHEMBL233_Ki,selfies,learnable,gru,228,0.5566664406038099,0.05432357020027595
CHEMBL233_Ki,selfies,onehot,gru,9,0.5551991708733468,0.058973722050562616
CHEMBL233_Ki,selfies,random,gru,218,0.5310426873213787,0.033444627139319345
CHEMBL233_Ki,selfies,random,cnn,143,0.5264960877113306,0.07505552633224209
CHEMBL233_Ki,smiles,learnable,cnn,249,0.5254569024378076,0.08415491489311519
CHEMBL233_Ki,smiles,learnable,gru,59,0.5252667912673499,0.06387465620101285
CHEMBL233_Ki,smiles,random,cnn,249,0.5183704469825223,0.096897780569723
CHEMBL233_Ki,smiles,random,gru,218,0.5089346380294304,0.08752869361961757
CHEMBL234_Ki,selfies,onehot,transformer,75,0.6519372362370641,0.04886342755775676
CHEMBL234_Ki,selfies,learnable,transformer,182,0.6518262137385846,0.04217997995515824
CHEMBL234_Ki,smiles,random,transformer,71,0.6443105517331441,0.05760296279312493
CHEMBL234_Ki,smiles,learnable,transformer,31,0.6433133627037387,0.03583726825268637
CHEMBL234_Ki,smiles,onehot,transformer,27,0.63807235442715,0.05496471721318724
CHEMBL234_Ki,selfies,random,transformer,290,0.6262807410877698,0.045198333447528584
CHEMBL234_Ki,selfies,onehot,gru,19,0.6091803345075072,0.09958565125362268
CHEMBL234_Ki,selfies,learnable,cnn,18,0.6056249882135378,0.06095813940576799
CHEMBL234_Ki,smiles,onehot,gru,13,0.602543532098705,0.0723312904935624
CHEMBL234_Ki,selfies,random,cnn,142,0.6003146512598162,0.07990785887501477
CHEMBL234_Ki,selfies,onehot,cnn,15,0.5871600658457302,0.05446292545658982
CHEMBL234_Ki,smiles,onehot,cnn,31,0.5735509704124524,0.09878189857204919
CHEMBL234_Ki,selfies,learnable,gru,229,0.5731793098877718,0.0660713470428223
CHEMBL234_Ki,smiles,learnable,gru,198,0.5706343626629037,0.05751565705323911
CHEMBL234_Ki,smiles,learnable,cnn,34,0.56969516713919,0.07274592249573972
CHEMBL234_Ki,selfies,random,gru,98,0.5507358303695848,0.045238318505792886
CHEMBL234_Ki,smiles,random,gru,134,0.5433620994786581,0.04852168653651726
CHEMBL234_Ki,smiles,random,cnn,15,0.5167871190660622,0.06351450371389895
CHEMBL287_Ki,smiles,onehot,cnn,15,0.7017003292481439,0.044516033365320666
CHEMBL287_Ki,smiles,learnable,cnn,243,0.6893081784606612,0.06162990926519049
CHEMBL287_Ki,smiles,random,cnn,219,0.6791416194031616,0.05576463022087283
CHEMBL287_Ki,selfies,learnable,cnn,19,0.675571758857078,0.036057131273241234
CHEMBL287_Ki,smiles,learnable,gru,24,0.6653725327548587,0.042029914345685024
CHEMBL287_Ki,selfies,random,cnn,139,0.652817790665073,0.03624464998924355
CHEMBL287_Ki,selfies,onehot,cnn,18,0.6491775872683225,0.10446240374407732
CHEMBL287_Ki,smiles,random,gru,213,0.6331596683109235,0.04197681897721275
CHEMBL287_Ki,smiles,onehot,transformer,55,0.6210071620082251,0.09218840430103462
CHEMBL287_Ki,smiles,onehot,gru,9,0.6109418008602956,0.07997619785035287
CHEMBL287_Ki,smiles,learnable,transformer,431,0.6088396861861078,0.07445755028641544
CHEMBL287_Ki,selfies,learnable,transformer,347,0.586431897545259,0.06819154306742338
CHEMBL287_Ki,selfies,random,gru,169,0.5692447185347095,0.05775291130363772
CHEMBL287_Ki,selfies,learnable,gru,153,0.5290739741659254,0.07521308955600463
CHEMBL287_Ki,selfies,onehot,transformer,83,0.5158353660306532,0.09068537059554792
CHEMBL287_Ki,selfies,onehot,gru,19,0.5040512581740738,0.03191346332137274
CHEMBL287_Ki,smiles,random,transformer,428,0.43070581570163835,0.029453467394987134
CHEMBL287_Ki,selfies,random,transformer,380,0.3993796944243131,0.056325780970060746
