dataset,model,test_ci_mean,test_ci_std
CHEMBL2147_Ki,cnn,0.6954647795253088,0.08515237699983166
CHEMBL2147_Ki,transformer,0.6285796295991191,0.08393548263882128
CHEMBL2147_Ki,gru,0.6138338323747472,0.11377709004496375
CHEMBL214_Ki,transformer,0.6946674650784671,0.06078632194620805
CHEMBL214_Ki,cnn,0.6635919115157002,0.05154228163155902
CHEMBL214_Ki,gru,0.6408499060565622,0.0591641510915658
CHEMBL233_Ki,transformer,0.5868169715989056,0.020805342916644116
CHEMBL233_Ki,cnn,0.5666183597635609,0.08884045372061664
CHEMBL233_Ki,gru,0.557170026997446,0.05791531204201338
CHEMBL234_Ki,transformer,0.6519372362370641,0.04886342755775676
CHEMBL234_Ki,gru,0.6091803345075072,0.09958565125362268
CHEMBL234_Ki,cnn,0.6056249882135378,0.06095813940576799
CHEMBL287_Ki,cnn,0.7017003292481439,0.044516033365320666
CHEMBL287_Ki,gru,0.6653725327548587,0.042029914345685024
CHEMBL287_Ki,transformer,0.6210071620082251,0.09218840430103462
