dataset,representation,test_ci_mean,test_ci_std
CHEMBL2147_Ki,selfies,0.6954647795253088,0.08515237699983166
CHEMBL2147_Ki,smiles,0.6804215283020204,0.07651053096466535
CHEMBL214_Ki,smiles,0.6946674650784671,0.06078632194620805
CHEMBL214_Ki,selfies,0.6792924124652215,0.046328583938311046
CHEMBL233_Ki,smiles,0.5868169715989056,0.020805342916644116
CHEMBL233_Ki,selfies,0.5840314598043943,0.04377588366524998
CHEMBL234_Ki,selfies,0.6519372362370641,0.04886342755775676
CHEMBL234_Ki,smiles,0.6443105517331441,0.05760296279312493
CHEMBL287_Ki,smiles,0.7017003292481439,0.044516033365320666
CHEMBL287_Ki,selfies,0.675571758857078,0.036057131273241234
